enrollment_id,overall_course_completion_rate
1,30.668162153501047
4,30.668162153501047
14,30.668162153501047
18,30.668162153501047
20,30.668162153501047
26,30.668162153501047
35,30.668162153501047
39,30.668162153501047
53,30.668162153501047
60,30.668162153501047
65,30.668162153501047
67,30.668162153501047
73,30.668162153501047
74,30.668162153501047
76,30.668162153501047
81,30.668162153501047
83,30.668162153501047
86,30.668162153501047
88,30.668162153501047
90,30.668162153501047
94,30.668162153501047
98,30.668162153501047
102,30.668162153501047
103,30.668162153501047
107,30.668162153501047
112,30.668162153501047
120,30.668162153501047
121,30.668162153501047
130,30.668162153501047
131,30.668162153501047
133,30.668162153501047
140,30.668162153501047
146,30.668162153501047
148,30.668162153501047
152,30.668162153501047
155,30.668162153501047
157,30.668162153501047
159,30.668162153501047
173,30.668162153501047
186,30.668162153501047
189,30.668162153501047
196,30.668162153501047
198,30.668162153501047
201,30.668162153501047
209,30.668162153501047
212,30.668162153501047
216,30.668162153501047
221,30.668162153501047
235,30.668162153501047
244,30.668162153501047
245,30.668162153501047
247,30.668162153501047
251,30.668162153501047
256,30.668162153501047
264,30.668162153501047
268,30.668162153501047
269,30.668162153501047
277,30.668162153501047
279,30.668162153501047
281,30.668162153501047
282,30.668162153501047
293,30.668162153501047
295,30.668162153501047
297,30.668162153501047
302,30.668162153501047
304,30.668162153501047
311,30.668162153501047
316,30.668162153501047
319,30.668162153501047
323,30.668162153501047
325,30.668162153501047
327,30.668162153501047
332,30.668162153501047
339,30.668162153501047
340,30.668162153501047
341,30.668162153501047
344,30.668162153501047
346,30.668162153501047
349,30.668162153501047
351,30.668162153501047
352,30.668162153501047
355,30.668162153501047
358,30.668162153501047
366,30.668162153501047
367,30.668162153501047
371,30.668162153501047
382,30.668162153501047
387,30.668162153501047
394,30.668162153501047
396,30.668162153501047
398,30.668162153501047
399,30.668162153501047
403,30.668162153501047
410,30.668162153501047
414,30.668162153501047
420,30.668162153501047
421,30.668162153501047
426,30.668162153501047
432,30.668162153501047
436,30.668162153501047
438,30.668162153501047
441,30.668162153501047
442,30.668162153501047
444,30.668162153501047
450,30.668162153501047
452,30.668162153501047
463,30.668162153501047
464,30.668162153501047
469,30.668162153501047
471,30.668162153501047
480,30.668162153501047
490,30.668162153501047
514,30.668162153501047
515,30.668162153501047
516,30.668162153501047
517,30.668162153501047
522,30.668162153501047
543,30.668162153501047
550,30.668162153501047
552,30.668162153501047
576,30.668162153501047
579,30.668162153501047
580,30.668162153501047
581,30.668162153501047
584,30.668162153501047
588,30.668162153501047
599,30.668162153501047
600,30.668162153501047
603,30.668162153501047
606,30.668162153501047
612,30.668162153501047
613,30.668162153501047
625,30.668162153501047
629,30.668162153501047
633,30.668162153501047
638,30.668162153501047
639,30.668162153501047
645,30.668162153501047
652,30.668162153501047
654,30.668162153501047
660,30.668162153501047
661,30.668162153501047
667,30.668162153501047
680,30.668162153501047
691,30.668162153501047
693,30.668162153501047
701,30.668162153501047
703,30.668162153501047
704,30.668162153501047
707,30.668162153501047
709,30.668162153501047
